Question,Answer
How is a policy action initiated at the University Policy Office?,"A policy action at the University Policy Office is initiated through a six-year review conducted by the office. The outcomes of this review can include a review without revision, revision, or deletion of the policy. If there's a need to amend an existing policy, the policy contact or owner can initiate the process by submitting a request via email to policy@unt.edu, along with a draft of the policy document using the Track Changes feature in Word. For creating a new policy, the responsible executive identifies a need, selects a policy contact and owner, and submits a draft using the policy template."
What is the difference between a policy and a procedure?,"A policy states ""Why"" the institution takes certain positions on an issue, while a procedure outlines ""How"" the institution will implement this policy position. In summary, policies provide the reasoning behind decisions, while procedures detail the steps to implement those decisions."
On average how long does it take to complete a policy action?,"The duration of a policy action varies. Minor changes, like updates to contact information, may take a few business days. However, substantive changes to the policy itself typically involve a thorough six-step review process, taking about twelve (12) weeks or more. The complexity of the action can influence the duration, and occasionally, there might be urgency due to accreditation, system, state, or federal deadlines."
What happens after I submit a policy draft to the University Policy Office?,"The University Policy Office (UPO) will review the submitted draft, provide feedback or edits if necessary, and initiate the routing process. This process ensures the policy draft meets prescribed standards and addresses any feedback concerns with the owner. The detailed processes can be found on the UPO's Policy Processes page."
Who should I contact if I have questions about the content of a policy?,"For questions regarding the content of a policy, the best person to contact is the Policy Contact listed on the policy's web page. This information can be found by browsing or searching the Policy Manual for the specific policy in question."
Where can I find previously approved versions of a policy?,"The University Policy Office works with the Records Management Program and the University Archives to maintain older versions of UNT policies. The University Archives is the primary source for older policy versions, but if needed, UPO staff can also check internal records to accommodate requests."
What is the purpose of the legal sufficiency review in the policy process?,"The legal sufficiency review, conducted by the UNT Office of General Counsel (OGC), analyzes policies to ensure consistency with applicable law, identify and address legal risks, and improve legal defensibility. This review is a crucial step in the policy development process."
What distinguishes a substantive change from a non-substantive change in a policy?,"A ""substantive change"" modifies the meaning and interpretation of the policy, such as adding or deleting a definition, changing a responsible party, or revising text that alters the scope of applicability. In contrast, a ""non-substantive change"" includes adjustments like font and paragraph changes, page numbering, and policy number modifications."
How can I determine when a policy was last updated?,"The initial approval date and revision history of each policy are located at the bottom of the document. Additionally, recent policy updates can be found on the Policy Updates page, providing information on the latest changes."
Are there any rules regarding posting UNT policy on departmental web pages?,"To ensure proper updating and consistency, only one version of a University-wide policy may exist, residing within the University Policy Manual on the official policy page. If departments want to reference a UNT policy on their web page, they should link back to the official policy page within the University Policy Manual."
How many credits am I taking?,"INFO 5000, INFO 5200, and INFO 5600 are each three credits."
How many credits can I handle?,"It is recommended that all students, except those in the School Library Certification, begin their master’s program with INFO 5000. You may take 5000 with either or both of the other core courses, 5200 or 5600. You may take other courses concurrently with the core courses with the approval of your advisor. Keep in mind that INFO 5200 and 5600 are considered two of the more labor-intensive courses offered and it is not recommended that they be taken concurrently. Part-time enrollment at the graduate level is considered to be six credit hours or fewer per semester. Full-time enrollment is at least nine credits per semester. At the Master’s level you should expect to spend four hours outside of class for every credit hour you take. For example, if you are taking 5000 and 5600, a total of six credit hours, you should expect to spend 25 hours per week on coursework."
When do I need to be on campus for an Institute? Can I leave early?,"The agenda for each class is posted on the Onsite Institute website. In general all classes meet from 8 a.m. to 5 p.m. and, because these institutes provide the foundation for the remainder of the course which is delivered online, you are required to attend the entire time."
Are there other ways to get involved in the Department of Information Science community?,"All students in the Department of Information Science are encouraged to subscribe to the official department listserv LIS-ANNOUNCE-L. This list is for announcements only, not discussion. It is through this listserv that you will be notified of official department business including external employment postings, conference notifications, student and alumni activities, and other related department business. Joining IS-Announce is easy. Just send an email to is-announce-join@lists.unt.edu, leave the subject line and the body of the email blank. The Department is also active on social media. Consider following us on Facebook and Twitter for updates and information."
Whats an EUID?,"An EUID is a unique electronic user identifier that is assigned to all UNT students, faculty and staff—it is not your eight-digit student ID. The EUID will have your initials followed by four digits. Shortly after you are cleared to register by the graduate department, your EUID will be created by the UNT Computing Center. Your EUID will allow you access to WebCT, WebReg, and the UNT Library’s electronic resources, among other things. Find your EUID and other remote access help through your MyUNT page."
Where can I get information about financial aid?,"Financial Aid is administered by UNT. Apply for financial aid through the Free Application for Federal Student Aid, http://www.fafsa.ed.gov/. Find out more about financial aid at UNT at the Financial Aid website."
Where can I get information about my tuition and fees?,"Questions about tuition and fees should be addressed to Student Financial Services."
How do I find out about other Department of Information Science courses?,"The Department of Information Science website is the main source of information about the department's degrees, programs, and courses."
What is the difference between the Send To and Copy To options?,"Send to - creates a copy for a colleague at the university. Copy to - creates a copy for you to be used in another course."
Will Canvas be unavailable because of maintenance at a consistent time during the week?,"Instructure performs maintenance on the 1st and 3rd Thursday of each month between 1:05 am and 3:05 am if necessary. Even though the maintenance window is scheduled for 2 hours, users are not likely to experience downtime for more than a few minutes, however users should plan to schedule their activities accordingly."
How do I select my personal pronouns or change my display name in Canvas?,"Personal pronouns display after your name in various areas in Canvas, including: Comment Fields, Discussions, Inbox, User Navigation Menu, User Profile Page, User Settings Page 1. You can select your personal pronouns by using the following steps: 2. In the Global Navigation, click the Account button (above the Dashboard button), then click the Settings link. 3. Click the Edit Settings button. 4. Enter the name you would like to display in discussions, messages, and comments in the Display Name field. 5. In the Pronouns drop-down menu, select your personal pronouns. 6. Click the Update Settings button"
Why can't students see my course?,"There could be several different reasons why students cannot see a course or a course's content: Either the course or the course content is unpublished. To ensure your course is published, check that the Published button on your course's home page in the right Sidebar is green. To ensure your course's content is published, check that the modules, assignments, quizzes, etc. have a green checkmark next to them. The semester hasn't started yet. Although students are populated one week before the semester start date, students can only access the course content on the first class day unless the course settings have been adjusted (see Canvas Settings (Instructors) and Adjust Course Dates (Students)). The student is not yet registered. To check to see if the student is registered, click the People link on the course navigation menu. If the student is registered, the student's name will appear on the People page and there will be a checkmark next to the student's name. The student has dropped or withdrawn from the course. To check to see if the student is still registered, click the People link on the course navigation menu. If the student is not registered, the student's name will not appear on the People page."
Can I get advised over the phone or email?,"If you have specific questions, you will need to make an appointment with an advisor. You may email an advisor, but due to legal reasons, email advising is limited only to general questions. An on-call advisor is also available every day to answer general questions over the phone (940) 565-2110."
What are my advising options if I'm not able to meet with an academic advisor during standard office hours?,"If you aren't able to meet with an advisor in-person during our traditional appointment hours, please call the office to inquire about alternative online advising options."
What are my responsibilities?,"1. Knowing and observing all prerequisite requirements as listed in the most recently published Undergraduate Catalog. They are enforced as soon as they are published regardless of the catalog in effect when you started at UNT. Course requirements are audited by individual departments. They can drop you from a course if you do not have the listed prerequisites. 2. Applying for a degree plan at the proper time. 3. Checking degree progression by running an updated online degree audit each semester. 4. Providing updated transcripts to the UNT Registrar's Office for any transfer work completed after you begin attending UNT. 5. Meeting with an advisor one semester prior to graduation to complete a graduation check. 6. Meeting all degree requirements of your degree plan as well as the general requirements outlined in the Undergraduate Catalog of the year specified by your formal degree plan."
What should I bring to my appointment?,"Bring a list of your questions. If this is your first appointment in the G. Brint Ryan College of Business Advising Office, bring an evaluated copy of your transcripts. If you have a copy of your worksheet, audit, or degree plan, you may want to bring it with you to verify that it is the same as that in the Advising Office. Bring possible schedule options after reviewing your online degree audit."
Can I request a specific advisor?,"You are encouraged to develop a relationship with your advisor. Academic Advisors are an important contact during your college career. If you would like to make an appointment with a particular advisor, you must tell the receptionist when scheduling your appointment."
I am being asked to enter a code. How do I get my code?,"All first-time in college and Pre-Business (PBUS) students, as well as those on academic alert or probation, are required to meet with an Academic Advisor to discuss your degree progression and obtain a code to register."
How do I register for an Internship?,"Contact Brian Hirsch with the Career Resource Center to begin the process and discussion regarding an internship. If approved for an internship, you will be given directions on how to register for the course."
I can't register for upper-level business courses.,"Students classified as BUND (Business Undecided) are blocked from enrolling in upper-level (3000-4000 level) business courses. If you are (or will be) eligible for upper-level business courses for the next semester, you must meet with an advisor prior to registration to have the block removed."
I am getting a message that says 'Maximum Term Unit Load Exceeded'.,"If you get this message, you have tried to register for more than the maximum number of hours allowed for that term. An advisor can approve an overload if you meet the qualifications listed in the UNT catalog in the enrollment section under Student Load."
What do I do if the class I am trying to register for is full?,"The Advising Office cannot add you to courses that are full. You can always check with individual departments to see if a waiting list is being offered. Continue to check for course availability throughout schedule revision and Add/Drop registration periods."
Are evening online or Saturday classes available?,"Conduct an advanced search for options using my.unt.edu. Instructions for viewing evening and weekend and online options are available."
PBUS and BUND Majors:,"Pre-Business (PBUS) and Business Undecided (BUND) majors are blocked from registering from all upper-level business courses. BUND majors, if you are (or will be) eligible for upper-level business courses for the next semester, you must meet with an advisor prior to registration to have the block removed. Call (940) 565-2110 or come by BLB 110 to schedule an appointment. In order to meet requirements to enroll in upper-level courses, you must have completed the Pre-Business courses which include: ENGL 1310 and 1320/TECM 2700, ECON 1100 and 1110, MATH 1190 or 1400 (prior to Fall 2011), BCIS 2610, ACCT 2010 and 2020, and DSCI 2710 all with a grade of C or better and a 2.7 PBUS GPA, have a 2.7 UNT GPA, 2.7 PBUS GPA, and a minimum of 45 semester hours must be completed."
What is a degree plan? When and how do I file for one?,"It is the official document that lists all the courses required for your chosen degree and how the courses that you have completed are applied toward the degree. You should file for a degree plan after you have completed all of the Pre-Business requirements listed above. You must make an appointment with an Academic Advisor in BLB 110 to file for a degree plan, which will be available for you to pick up in approximately 8-12 weeks."
How do I run my unofficial online audit?,"Click here to run your unofficial online audit. How to run and read your online degree audit instructions are available as well."
What is a Professional Field?,"A Professional Field is your concentration (Major) within the G. Brint Ryan College of Business. See the Four Year Guides section for a list of all the current options available."
Does the G. Brint Ryan College of Business require a minor?,"A minor is not required for G. Brint Ryan College of Business students. However, a student can choose to pursue a minor if desired, speak with an advisor for options. You must meet with your advisor to declare a minor."
How does duplicating a course impact my GPA?,"A student may take a course a second or subsequent time (ACCT courses may only be taken a total of two times at UNT). The first grade earned is excluded in the GPA calculation. The second attempt and all subsequent attempts will be included in the GPA calculation. A duplication form must be completed and turned in to the Registrar's Office for the grade duplication to be processed."
Can I take BUSI 4940 before my graduating semester?,"No. BUSI 4940 must be taken your graduating semester. Also, all business foundation courses must be completed with a 'C' or higher before enrolling in BUSI 4940. There are no exceptions."
How do I get a course overload?,"If you meet the requirements stated in the catalog in the enrollment section under and wish to obtain a course overload, you can do so by meeting with an advisor."
Can I take a course Pass/No Pass?,"Students may choose to take only free electives as Pass/No Pass. Any other required course must be taken as a graded course. If you would like to take a free elective Pass/No Pass, please meet with an advisor before the stated deadline in the schedule of classes."
How do I calculate my GPA?,"Visit this website to learn how to calculate your GPA and for a calculator to assist you. For graduation, all G. Brint Ryan College of Business majors are required to have at least a 2.0 UNT GPA and a 2.0 overall cumulative GPA (including transfer work). Professional Field (major) GPAs will vary."
What GPA is required for graduation with honors?,"1. Cum Laude: Overall GPA is at least 3.500 but less than 3.700 2. Magna Cum Laude: Overall GPA is at least 3.700 but less than 3.9 3. Summa Cum Laude: Overall GPA is 3.9-4.0"
How can I or my child feel safe on this campus?,"Overall, here at UNT, the violent crime rate is actually fairly low, especially given the size of the community and the institution. It’s highly likely that if you’re victimized by someone, it will be a theft of some kind. Engrave your driver’s license number on items like laptops, TVs or bicycles or at the very least, take photos of all your serial numbers and upload them to the cloud. Keep your cars clean and locked and also work out with your roommates and suitemates that all residence hall doors should stay locked at all times! Other than that, keep a charged cell phone on you at all times, keep your head up and be aware of your surroundings, and immediately report any suspicious persons or activity to the UNT Police."
What things can I carry or can my child bring to campus for their protection?,"This can get complicated quickly. There are things you can do or carry in public or at UNT that are legal but may be otherwise prohibited by other policies. For example, you can carry a pocketknife at UNT but they are prohibited in the residence halls. Concealed handguns in certain residence halls are allowed, but the Texas LTC (License to Carry) has a minimum age requirement of 21 eliminating that choice for many. In general, we often recommend a good quality pepper spray. You can contact one of us for guidance and more discussion. Reach out to our community relations person found on this web site. Don’t forget that general awareness and good personal safety habits are also important tools."
What is the crime rate on campus?,"The Jeanne Clery Act requires institutions of higher education to annually compile and report on “Clery” crimes occurring within our “Clery geography.” Generally, these are your more violent offenses plus things such as alcohol and drug arrests or disciplinary referrals and dating/family violence. To see the statistics for the most recent three calendar years, go to https://clery.unt.edu and peruse the Annual Security & Fire Safety Report (ASFSR). In general, based on the last information available to us, our crime rate is lower than that of similarly sized institutions."
